Balls,Strikes,Outs,Runners,RE
3,0,1,7,0.62
3,0,2,0,0.07
3,0,2,1,0.11
3,0,2,2,0.05
3,0,2,3,0.19
3,0,2,4,0.09
3,0,2,5,0.09
3,0,2,6,0.06
3,0,2,7,0.66
3,1,0,0,0.33
3,1,0,1,0.40
3,1,0,2,0.30
3,1,0,3,0.66
3,1,0,4,0.27
3,1,0,5,0.43
3,1,0,6,0.63
3,1,0,7,0.79
3,1,1,0,0.22
3,1,1,1,0.33
3,1,1,2,0.24
3,1,1,3,0.47
3,1,1,4,0.28
3,1,1,5,0.26
3,1,1,6,0.17
3,1,1,7,0.97
3,1,2,0,0.10
3,1,2,1,0.17
3,1,2,2,0.14
3,1,2,3,0.24
3,1,2,4,0.11
3,1,2,5,0.28
3,1,2,6,0.18
3,1,2,7,0.07
3,2,0,0,0.62
3,2,0,1,0.93
3,2,0,2,0.78
3,2,0,3,1.34
3,2,0,4,0.77
3,2,0,5,1.08
3,2,0,6,0.92
3,2,0,7,1.78
3,2,1,0,0.43
3,2,1,1,0.72
3,2,1,2,0.62
3,2,1,3,1.07
3,2,1,4,0.84
3,2,1,5,1.00
3,2,1,6,0.93
3,2,1,7,1.77
3,2,2,0,0.22
3,2,2,1,0.44
3,2,2,2,0.44
3,2,2,3,0.74
3,2,2,4,0.50
3,2,2,5,0.74
3,2,2,6,0.74
3,2,2,7,1.74
