speed,pX,pZ,sZ_top,sZ_bot,zone
94.6,0.74,3.33,3.48,1.63,3
86.6,-0.54,1.64,3.48,1.63,7
86.4,1.40,0.64,3.50,1.64,14
77.8,0.38,0.36,3.48,1.63,14
93.9,-0.62,2.75,3.85,1.86,4
85.9,0.94,0.98,3.63,1.79,14
94.8,-1.30,3.27,3.75,1.79,11
93.9,-0.38,2.79,3.63,1.79,4
86.1,0.99,0.57,3.64,1.79,14
76.4,-0.75,2.49,3.63,1.79,4
94.8,1.13,2.19,3.62,1.66,14
84.6,-0.63,1.65,3.47,1.66,7
77.0,-0.72,2.60,3.47,1.66,4
95.1,-0.32,3.10,3.47,1.66,1
95.4,0.28,1.70,3.68,1.93,14
95.6,-0.29,2.91,3.53,1.69,4
90.0,0.76,1.28,3.58,1.70,14
97.1,0.79,3.38,3.65,1.89,3
96.7,0.59,2.56,3.53,1.69,6
91.0,-0.45,2.96,3.53,1.69,1
90.6,1.53,1.27,3.62,1.77,14
90.0,0.93,2.62,3.53,1.69,12
90.7,0.70,1.03,3.53,1.69,14
81.5,-0.02,3.83,3.39,1.59,11
96.8,1.31,1.76,3.45,1.59,14
92.3,-0.15,1.93,3.48,1.59,8
91.6,-0.52,2.99,3.51,1.59,1
97.0,1.03,1.56,3.45,1.59,14
91.5,0.43,1.82,3.48,1.59,9
97.0,0.59,1.38,3.37,1.66,14
83.2,0.88,0.91,3.31,1.56,14
90.6,1.44,0.47,3.38,1.62,14
89.6,-0.04,3.33,3.36,1.53,2
96.0,0.40,3.84,3.31,1.56,12
83.7,-0.69,2.57,3.13,1.49,4
94.1,-0.20,3.16,3.35,1.57,2
94.5,1.10,1.98,3.48,1.67,14
86.1,1.68,1.81,3.47,1.68,14
94.7,-0.13,2.55,3.43,1.67,5
86.0,-0.29,1.63,3.43,1.67,7
89.5,0.77,1.07,3.34,1.57,14
93.6,0.40,2.68,3.34,1.57,6
94.6,-1.18,4.28,3.41,1.57,11
95.2,-1.54,3.77,3.35,1.57,11
85.1,-0.95,2.39,3.34,1.57,13
95.1,1.12,2.73,3.34,1.57,12
80.9,0.00,3.35,3.20,1.48,12
90.5,-0.16,2.07,3.11,1.46,5
94.0,0.04,3.50,3.27,1.59,12
93.9,-0.05,1.67,3.29,1.51,8
89.0,0.70,0.77,3.26,1.48,14
95.7,-0.94,2.69,3.26,1.48,11
81.3,0.13,2.57,3.59,1.77,5
90.7,-0.37,1.79,3.41,1.63,7
95.8,-0.14,2.73,3.38,1.62,5
95.4,0.09,1.85,3.38,1.62,8
88.7,-0.21,2.60,3.38,1.62,5
84.9,-0.13,2.21,3.20,1.54,5
84.8,0.25,2.71,3.21,1.54,2
84.6,1.51,0.45,3.17,1.54,14
94.3,0.13,3.51,3.22,1.47,12
89.4,-0.12,3.34,3.30,1.48,2
87.9,0.41,2.91,3.22,1.47,3
95.0,-0.60,4.12,3.37,1.64,11
75.7,-0.52,3.06,3.36,1.59,1
93.8,1.04,3.51,3.30,1.57,12
77.3,0.34,0.89,3.30,1.57,14
88.3,0.49,2.36,3.30,1.57,6
95.1,-1.16,2.30,3.37,1.66,13
88.1,-0.30,1.69,3.48,1.54,7
94.4,-0.66,4.40,3.63,1.62,11
90.6,-2.64,3.31,3.59,1.59,11
95.8,-0.49,2.43,3.48,1.54,4
88.3,-0.50,3.63,3.49,1.61,11
82.9,-0.09,2.56,3.48,1.63,5
88.9,0.88,2.36,3.53,1.69,14
94.6,0.63,3.86,3.47,1.59,12
93.7,-0.27,3.61,3.48,1.59,11
90.2,-0.04,2.62,3.48,1.59,5
94.5,0.35,2.73,3.31,1.56,6
88.2,0.97,1.00,3.39,1.63,14
95.3,0.26,1.91,3.31,1.56,8
88.7,-0.00,3.28,3.43,1.63,2
84.6,-0.38,2.11,3.48,1.63,7
94.2,-0.47,1.92,3.74,1.77,7
93.9,-0.99,1.74,3.68,1.82,13
94.3,0.01,1.13,3.63,1.79,14
94.6,1.19,2.66,3.63,1.79,14
84.4,1.13,-0.20,3.64,1.79,14
84.7,1.05,0.88,3.63,1.79,14
94.2,-0.83,2.37,3.60,1.66,13
89.0,-0.17,3.63,3.47,1.66,11
95.6,-0.63,3.03,3.47,1.66,1
88.6,1.05,1.28,3.47,1.66,14
87.0,-0.84,2.10,3.34,1.72,13
93.9,0.48,3.32,3.23,1.51,3
87.6,-0.12,0.68,3.20,1.51,13
88.1,-0.34,2.05,3.11,1.46,4
88.0,-0.39,1.17,3.11,1.46,13
81.6,0.47,1.97,3.26,1.58,9
93.7,0.26,3.72,3.26,1.48,12
94.1,-1.04,4.26,3.29,1.48,11
89.4,0.11,0.50,3.29,1.60,14
91.0,-0.15,2.89,3.26,1.48,2
93.6,-0.29,4.47,3.70,1.79,11
94.2,-0.13,2.36,3.72,1.78,8
88.4,0.41,2.80,3.59,1.77,6
81.1,-0.65,3.80,3.39,1.63,11
93.7,0.45,1.92,3.41,1.62,9
88.5,1.48,0.24,3.42,1.65,14
87.3,0.54,3.03,3.38,1.62,3
94.1,-0.61,2.91,3.38,1.62,1
91.3,0.64,2.29,3.48,1.54,6
91.6,-1.51,1.17,3.50,1.55,13
92.0,0.03,1.99,3.48,1.54,8
91.5,-1.14,1.78,3.49,1.64,13
92.7,0.46,2.37,3.49,1.64,6
92.4,0.34,2.00,3.48,1.63,9
94.0,-0.99,2.83,3.48,1.69,11
80.5,0.59,1.79,3.53,1.69,9
92.8,-1.22,2.36,3.49,1.59,13
93.7,0.93,2.74,3.40,1.56,12
83.4,1.27,2.13,3.33,1.52,14
93.3,1.28,2.96,3.40,1.59,12
83.8,0.57,2.90,3.37,1.56,3
93.5,0.41,2.10,3.48,1.59,9
92.4,-0.54,1.46,3.40,1.69,13
80.0,-1.31,0.29,3.39,1.59,13
92.9,0.16,1.94,3.31,1.56,8
93.8,0.32,2.41,3.31,1.56,6
93.7,0.01,3.57,3.39,1.57,12
81.3,-1.19,0.97,3.38,1.56,13
93.3,-0.20,2.41,3.31,1.56,5
85.1,0.94,2.78,3.17,1.54,12
79.3,0.60,2.69,3.13,1.49,3
93.5,0.01,2.30,3.49,1.67,5
92.0,-0.69,3.06,3.47,1.59,1
79.5,-0.23,1.77,3.47,1.59,8
80.5,-0.01,1.12,3.47,1.59,13
94.1,-0.30,2.23,3.34,1.57,4
39.4,1.39,0.88,3.32,1.51,14
74.0,-0.47,2.43,3.48,1.52,4
79.9,0.30,2.21,3.11,1.46,6
41.8,0.06,3.70,3.11,1.46,12
44.5,2.22,3.02,3.17,1.56,12
81.6,-0.85,2.85,3.35,1.64,11
82.7,-1.09,3.82,3.39,1.60,11
41.9,-0.33,3.52,3.26,1.48,11
44.9,0.07,4.89,3.54,1.76,12
83.6,0.04,3.30,3.59,1.77,2
37.7,-1.06,2.80,3.38,1.62,11
37.8,0.52,0.99,3.58,1.72,14
83.1,0.89,2.47,3.44,1.70,14
40.7,1.52,1.26,3.53,1.70,14
83.7,0.32,3.34,3.44,1.70,3
92.4,0.44,1.79,3.17,1.54,9
93.0,0.37,3.02,3.28,1.51,3
91.2,-0.49,2.41,3.22,1.47,4
92.4,0.55,3.74,3.43,1.65,12
92.7,-0.13,2.09,3.30,1.57,8
90.1,-0.37,2.00,3.30,1.57,7
