test_name,gamePK,code,balls,strikes,outs,strikeZoneTop,strikeZoneBottom,pX,pZ,zone,first,second,third,isTopInning,delta_zone,delta_monte,pitcher,batter,Note,ump_scorecards,baseball_savant
test_data13,717421,B,3,2,2,3.519072351,1.551938301,0.826344351,2.700863559,6,TRUE,FALSE,FALSE,TRUE,-0.26,0,Yennier,Riley,Did not show on ump scorecards,https://twitter.com/UmpScorecards/status/1679143754010075138,https://baseballsavant.mlb.com/statcast_search?hfPTM=&hfPT=&hfAB=&hfGT=A%7C&hfPR=ball%7C&hfZ=1%7C2%7C3%7C4%7C5%7C6%7C7%7C8%7C9%7C&hfStadium=&hfBBL=&hfNewZones=&hfPull=&hfC=&hfSea=2023%7C&hfSit=&player_type=pitcher&hfOuts=&hfOpponent=&pitcher_throws=&batter_stands=&hfSA=&game_date_gt=2023-07-11&game_date_lt=2023-07-11&hfMo=&hfTeam=&home_road=&hfRO=&position=&hfInfield=&hfOutfield=&hfInn=&hfBBT=&batters_lookup%5B%5D=663586&hfFlag=&pitchers_lookup%5B%5D=666974&metric_1=&group_by=name&min_pitches=0&min_results=0&min_pas=0&sort_col=pitches&player_event_sort=api_p_release_speed&sort_order=desc#results
test_data15,717316,C,3,2,1,3.471948917,1.717226483,0.606888053,1.550578158,14,FALSE,FALSE,FALSE,TRUE,0.22,0,Leclerc,Taylor,Did not show on ump scorecards,https://twitter.com/UmpScorecards/status/1682761151476539399,https://baseballsavant.mlb.com/statcast_search?hfPTM=&hfPT=&hfAB=&hfGT=R%7C&hfPR=called%5C.%5C.strike%7C&hfZ=11%7C12%7C13%7C14%7C&hfStadium=&hfBBL=&hfNewZones=&hfPull=&hfC=31%7C&hfSea=2023%7C&hfSit=&player_type=pitcher&hfOuts=&hfOpponent=&pitcher_throws=&batter_stands=&hfSA=&game_date_gt=2023-07-21&game_date_lt=2023-07-21&hfMo=&hfTeam=&home_road=&hfRO=&position=&hfInfield=&hfOutfield=&hfInn=&hfBBT=&batters_lookup%5B%5D=621035&hfFlag=&pitchers_lookup%5B%5D=600917&metric_1=&group_by=name&min_pitches=0&min_results=0&min_pas=0&sort_col=pitches&player_event_sort=api_p_release_speed&sort_order=desc#results
