balls,strikes,outs,is_first_base,is_second_base,is_third_base,total_runs,count,average_runs,0 runs,1 runs,2 runs,3 runs,4 runs,5 runs,6 runs,7 runs,8 runs,9 runs,10 runs,11 runs,12 runs,13 runs
0,0,0,False,False,False,21321.0,40883,0.5215126091529486,29399,6048,2959,1405,599,276,101,52,22,12,4,3,2,1
0,0,0,False,False,True,381.0,265,1.4377358490566037,32,154,36,27,9,5,1,1,0,0,0,0,0,0
0,0,0,False,True,False,2782.0,2335,1.1914346895074945,884,740,374,176,93,36,16,11,4,1,0,0,0,0
0,0,0,False,True,True,995.0,509,1.9548133595284873,91,123,152,66,38,26,7,4,1,0,1,0,0,0
0,0,0,True,False,False,9018.0,9846,0.9159049360146252,5662,1641,1314,652,305,159,57,31,14,7,1,2,1,0
0,0,0,True,False,True,1513.0,819,1.8473748473748475,118,313,155,125,58,28,14,6,1,1,0,0,0,0
0,0,0,True,True,False,3557.0,2369,1.5014774166314901,918,503,358,288,152,85,35,17,7,5,0,1,0,0
0,0,0,True,True,True,1492.0,651,2.291858678955453,110,150,142,87,77,49,19,9,5,3,0,0,0,0
0,0,1,False,False,False,8150.0,29501,0.276261821633165,24614,2884,1196,519,184,64,26,10,2,1,1,0,0,0
0,0,1,False,False,True,1150.0,1137,1.0114335971855761,385,523,124,69,23,5,3,3,2,0,0,0,0,0
0,0,1,False,True,False,2893.0,3976,0.72761569416499,2291,977,407,176,74,36,10,3,1,1,0,0,0,0
0,0,1,False,True,True,1550.0,1102,1.4065335753176043,342,314,247,114,46,25,8,5,1,0,0,0,0,0
0,0,1,True,False,False,6554.0,11981,0.5470328019363992,8662,1394,1116,504,192,65,28,11,5,2,2,0,0,0
0,0,1,True,False,True,2226.0,1841,1.209125475285171,644,685,223,159,74,32,13,6,3,2,0,0,0,0
0,0,1,True,True,False,4021.0,4168,0.9647312859884837,2394,657,446,400,159,64,30,13,2,1,2,0,0,0
0,0,1,True,True,True,2266.0,1385,1.636101083032491,453,345,213,151,125,61,26,8,2,1,0,0,0,0
0,0,2,False,False,False,2481.0,23494,0.10560143015237933,21813,1139,365,124,35,10,6,2,0,0,0,0,0,0
0,0,2,False,False,True,760.0,2041,0.37236648701616853,1521,359,105,40,12,2,1,1,0,0,0,0,0,0
0,0,2,False,True,False,1606.0,5019,0.31998406056983464,3918,748,252,67,21,10,2,1,0,0,0,0,0,0
0,0,2,False,True,True,682.0,1222,0.55810147299509,910,59,172,57,17,3,3,1,0,0,0,0,0,0
0,0,2,True,False,False,2932.0,12123,0.24185432648684319,10509,721,592,212,63,19,5,2,0,0,0,0,0,0
0,0,2,True,False,True,1401.0,2586,0.5417633410672854,1844,384,162,131,41,14,6,3,0,1,0,0,0,0
0,0,2,True,True,False,2448.0,5034,0.4862932061978546,3808,557,294,252,89,25,3,3,1,1,1,0,0,0
0,0,2,True,True,True,1496.0,1858,0.8051668460710442,1228,193,204,93,102,27,7,2,1,1,0,0,0,0
0,0,3,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,False,False,False,10281.0,21325,0.48211019929660026,15750,2934,1458,689,279,123,46,25,11,7,2,1,0,0
0,1,0,False,False,True,173.0,127,1.3622047244094488,21,69,16,15,4,1,1,0,0,0,0,0,0,0
0,1,0,False,True,False,1301.0,1157,1.1244598098530683,482,344,174,82,40,20,7,4,3,1,0,0,0,0
0,1,0,False,True,True,433.0,238,1.819327731092437,42,66,74,28,13,10,2,3,0,0,0,0,0,0
0,1,0,True,False,False,4103.0,4765,0.8610703043022035,2840,774,611,281,139,63,28,14,9,5,1,0,0,0
0,1,0,True,False,True,673.0,383,1.7571801566579635,66,140,74,62,22,10,5,2,1,1,0,0,0,0
0,1,0,True,True,False,1596.0,1134,1.4074074074074074,476,234,162,122,74,40,17,2,5,1,0,1,0,0
0,1,0,True,True,True,658.0,310,2.1225806451612903,56,78,71,42,29,20,7,3,3,1,0,0,0,0
0,1,1,False,False,False,3807.0,15368,0.24772254034357105,13041,1399,571,237,75,26,11,6,1,1,0,0,0,0
0,1,1,False,False,True,524.0,547,0.9579524680073126,191,252,57,35,9,2,0,1,0,0,0,0,0,0
0,1,1,False,True,False,1392.0,2040,0.6823529411764706,1194,512,207,77,30,10,7,2,0,1,0,0,0,0
0,1,1,False,True,True,761.0,550,1.3836363636363636,198,129,118,56,27,14,6,2,0,0,0,0,0,0
0,1,1,True,False,False,2969.0,5886,0.5044172612979952,4391,627,497,225,98,29,9,4,2,2,2,0,0,0
0,1,1,True,False,True,935.0,868,1.077188940092166,330,330,102,60,27,10,4,2,2,1,0,0,0,0
0,1,1,True,True,False,1783.0,2012,0.8861829025844931,1219,283,207,200,60,25,11,4,1,1,1,0,0,0
0,1,1,True,True,True,1011.0,673,1.5022288261515602,250,161,100,64,53,28,13,4,0,0,0,0,0,0
0,1,2,False,False,False,1086.0,12185,0.08912597455888388,11453,491,155,66,15,3,2,0,0,0,0,0,0,0
