balls,strikes,outs,is_first_base,is_second_base,is_third_base,run_value
0,0,0,False,False,False,0.0683751871070632
0,0,0,False,False,True,0.07314362481680514
0,0,0,False,True,False,0.10681022933938622
0,0,0,False,True,True,0.18695576454197127
0,0,0,True,False,False,0.1337262812962593
0,0,0,True,False,True,0.16017947659645837
0,0,0,True,True,False,0.20164745820184105
0,0,0,True,True,True,0.3569207540047654
0,0,1,False,False,False,0.0585825281652243
0,0,1,False,False,True,0.09341304116139737
0,0,1,False,True,False,0.09642994804665483
0,0,1,False,True,True,0.13698393009575915
0,0,1,True,False,False,0.09024003115061713
0,0,1,True,False,True,0.2074795958186324
0,0,1,True,True,False,0.17454019060191905
0,0,1,True,True,True,0.20016741436040442
0,0,2,False,False,False,0.033140082035424206
0,0,2,False,False,True,0.06971035837015216
0,0,2,False,True,False,0.05483996013420983
0,0,2,False,True,True,0.1341508766542293
0,0,2,True,False,False,0.0679723976959618
0,0,2,True,False,True,0.09269462061476452
0,0,2,True,True,False,0.1547123694431713
0,0,2,True,True,True,0.2740779371287846
0,1,0,False,False,False,0.074855180138715
0,1,0,False,False,True,0.15482339801759037
0,1,0,False,True,False,0.17258200960009973
0,1,0,False,True,True,0.24520986260116695
0,1,0,True,False,False,0.14375520316712198
0,1,0,True,False,True,0.1747827626769205
0,1,0,True,True,False,0.20071010472669948
0,1,0,True,True,True,0.4379082421078606
0,1,1,False,False,False,0.05190560948929679
0,1,1,False,False,True,0.06892082067994953
0,1,1,False,True,False,0.11867284268313605
0,1,1,False,True,True,0.09718771566597662
0,1,1,True,False,False,0.09294077840987153
0,1,1,True,False,True,0.13391202081094145
0,1,1,True,True,False,0.16588127274045883
0,1,1,True,True,True,0.26222312837328876
0,1,2,False,False,False,0.03961128711279983
0,1,2,False,False,True,0.12165317139001347
0,1,2,False,True,False,0.09911403816840877
0,1,2,False,True,True,0.1806508030347817
0,1,2,True,False,False,0.06119529562825296
0,1,2,True,False,True,0.11622670807453417
0,1,2,True,True,False,0.13942047153038445
0,1,2,True,True,True,0.22973390902149493
0,2,0,False,False,False,0.15925926544563657
0,2,0,False,False,True,0.29706242350061196
0,2,0,False,True,False,0.3248627772974083
0,2,0,False,True,True,0.39183224170451014
0,2,0,True,False,False,0.25441606669824957
0,2,0,True,False,True,0.48875878220140523
0,2,0,True,True,False,0.37485537675376923
0,2,0,True,True,True,0.4989161336176262
0,2,1,False,False,False,0.11369970712705027
0,2,1,False,False,True,0.4661798009497814
0,2,1,False,True,False,0.25883532608226995
0,2,1,False,True,True,0.603112780837567
0,2,1,True,False,False,0.2122255230393604
0,2,1,True,False,True,0.4937287627563527
0,2,1,True,True,False,0.3760003015045223
0,2,1,True,True,True,0.5824509483975029
0,2,2,False,False,False,0.07404889104743403
0,2,2,False,False,True,0.2863652295828952
0,2,2,False,True,False,0.24043359017892124
0,2,2,False,True,True,0.4247663551401869
0,2,2,True,False,False,0.16987740805604204
0,2,2,True,False,True,0.36062928600242034
0,2,2,True,True,False,0.3167722574191397
0,2,2,True,True,True,0.5815342214056041
1,0,0,False,False,False,0.10613425321229703
1,0,0,False,False,True,-0.11168943829971822
1,0,0,False,True,False,0.11680724938382703
1,0,0,False,True,True,0.0073781291172596575
1,0,0,True,False,False,0.16258344773183442
1,0,0,True,False,True,0.2637486280708776
1,0,0,True,True,False,0.30328424663250475
1,0,0,True,True,True,0.16719664774584642
1,0,1,False,False,False,0.08411216274920963
1,0,1,False,False,True,0.10441683919944789
1,0,1,False,True,False,0.10486913454677627
1,0,1,False,True,True,0.18609539525381114
1,0,1,True,False,False,0.15438008850532792
1,0,1,True,False,True,0.2728088954036456
1,0,1,True,True,False,0.28587437585274467
1,0,1,True,True,True,0.23475754795521353
1,0,2,False,False,False,0.03979253704379496
1,0,2,False,False,True,0.05473521879550419
1,0,2,False,True,False,0.08514608892092096
1,0,2,False,True,True,0.08190196078431378
1,0,2,True,False,False,0.09533865132835653
1,0,2,True,False,True,0.09943353474320238
1,0,2,True,True,False,0.19055311125078567
1,0,2,True,True,True,0.3179685691929601
1,1,0,False,False,False,0.11373641176062743
1,1,0,False,False,True,0.260797342192691
1,1,0,False,True,False,0.2012647595680832
1,1,0,False,True,True,0.025485514167462586
1,1,0,True,False,False,0.18615660780945442
1,1,0,True,False,True,0.16946487669184518
1,1,0,True,True,False,0.2223577216754593
1,1,0,True,True,True,0.2960338680926915
1,1,1,False,False,False,0.08729470637074577
1,1,1,False,False,True,0.11005925862375365
1,1,1,False,True,False,0.11460966916049742
1,1,1,False,True,True,0.16935838999042763
1,1,1,True,False,False,0.12320114126567028
1,1,1,True,False,True,0.23651674734981953
1,1,1,True,True,False,0.12773303073301634
1,1,1,True,True,True,0.27472019582725893
1,1,2,False,False,False,0.05288703364129965
1,1,2,False,False,True,0.09638561596389172
1,1,2,False,True,False,0.10451495986785142
1,1,2,False,True,True,0.13656589506290007
1,1,2,True,False,False,0.08058169633723386
1,1,2,True,False,True,0.10486550566424635
1,1,2,True,True,False,0.15270709626129114
1,1,2,True,True,True,0.32550313741281467
1,2,0,False,False,False,0.19685341634345305
1,2,0,False,False,True,0.5507169085504459
1,2,0,False,True,False,0.38976645394682075
1,2,0,False,True,True,0.43962515696983395
1,2,0,True,False,False,0.3328587861977472
1,2,0,True,False,True,0.5275994984442485
1,2,0,True,True,False,0.4008671862272386
1,2,0,True,True,True,0.5021647211882474
1,2,1,False,False,False,0.14481189551354234
1,2,1,False,False,True,0.5346368660179065
1,2,1,False,True,False,0.2815319512336591
1,2,1,False,True,True,0.6390037584713578
1,2,1,True,False,False,0.26480041600130655
1,2,1,True,False,True,0.5494939853740017
1,2,1,True,True,False,0.4121804939010641
1,2,1,True,True,True,0.7466890616014166
1,2,2,False,False,False,0.09080210363723291
1,2,2,False,False,True,0.28676200953428677
1,2,2,False,True,False,0.26590401785714285
1,2,2,False,True,True,0.4538006372325899
1,2,2,True,False,False,0.19923113887554061
1,2,2,True,False,True,0.3925964546402503
1,2,2,True,True,False,0.36096473449533845
1,2,2,True,True,True,0.74235807860262
